mag uflv uvlf,dw uvlf,up
-20.75,0.0002,-0.0002,+0.0002
-20.25,0.0009,-0.0004,+0.0004
-19.75,0.0007,-0.0004,+0.0004
-19.25,0.0018,-0.0006,+0.0006
-18.75,0.0036,-0.0009,+0.0009
-18.25,0.0060,-0.0012,+0.0012
-17.75,0.0071,-0.0014,+0.0066
-17.25,0.0111,-0.0022,+0.0102
-16.75,0.0170,-0.0039,+0.0165
-16.25,0.0142,-0.0054,+0.0171
-15.75,0.0415,-0.0069,+0.0354
-15.25,0.0599,-0.0106,+0.0757
-14.75,0.0817,-0.0210,+0.1902
-14.25,0.1052,-0.0434,+0.5414
-13.75,0.1275,-0.0747,+1.6479
-13.25,0.1464,-0.1077,+5.4369
-12.75,0.1584,-0.1343,+19.8047
